event_id,timestamp,sunlight_percent,temperature,humidity_percent,action
6b2462d2,1779433440,62.42,33.92,57.23,1
721f0471,1779433500,22.2,-0.64,66.38,1
afb89cde,1779433560,89.48,-8.76,75.35,1
e6c331cc,1779433620,35.48,1.0,49.5,1
2cdde734,1779433680,56.05,15.92,21.73,1
b40c5cf3,1779433740,70.41,-1.63,29.52,1
55f12cac,1779433800,27.3,17.36,31.75,1
9890d6a5,1779433860,34.26,20.85,71.95,1
39663b78,1779433920,36.39,26.45,62.22,1
2114fcf3,1779433980,34.99,-4.14,78.95,1
71d2f438,1779434040,34.96,-2.68,97.05,1
623fc7d1,1779434100,36.66,44.56,59.89,1
86c90ae0,1779434160,70.56,8.7,35.58,1
75d3ca01,1779434220,100.0,1.09,83.87,0
7f2a744f,1779434280,68.46,-4.69,63.43,1
345ecd86,1779434340,24.77,6.28,28.33,1
3bd3248b,1779434400,38.48,6.86,81.14,1
ec05ff68,1779434460,21.74,38.13,62.69,1
ed55c5b7,1779434520,33.08,-9.67,72.23,1
641e60f9,1779434580,64.55,33.74,77.75,1
fb85ce19,1779434640,29.02,41.79,53.82,1
22bd21f5,1779434700,12.3,-6.19,81.99,1
2ce4e050,1779434760,22.34,33.78,36.08,1
92f99dc1,1779434820,70.87,18.33,65.93,1
f081bd1a,1779434880,59.04,35.65,47.1,1
49797bea,1779434940,87.39,19.63,66.76,1
ce57b321,1779435000,0.0,-8.47,76.44,1
e9444ef7,1779435060,14.53,20.51,80.85,1
6b106dd8,1779435120,44.51,14.62,67.14,1
126b9f21,1779435180,30.27,-5.38,74.87,1
8d033da9,1779435240,29.79,45.78,49.96,1
e0d6bbf2,1779435300,62.54,42.29,83.16,1
0f02076f,1779435360,36.76,43.55,70.27,1
f43b57d6,1779435420,84.3,43.77,63.51,0
848ce3fa,1779435480,32.45,3.68,53.45,1
ba76c697,1779435540,81.84,41.64,54.16,0
8cc73787,1779435600,50.13,15.04,55.31,1
09165937,1779435660,40.11,10.26,54.22,1
2ab2668e,1779435720,45.97,21.13,68.08,1
4ee482c1,1779435780,26.42,48.31,88.08,1
4365c5c0,1779435840,2.03,7.09,59.47,1
29e72c28,1779435900,52.56,20.16,51.35,1
d1d7d523,1779435960,45.19,-1.31,66.03,1
6ebddefe,1779436020,58.5,4.52,59.85,1
7c8381ca,1779436080,78.57,4.26,75.04,1
379b02a2,1779436140,29.95,27.94,87.68,1
87f1733b,1779436200,64.67,-4.58,100.0,1
c0e22c35,1779436260,37.66,1.19,78.46,1
dfa9b8ec,1779436320,52.49,30.65,49.93,1
3bad6877,1779436380,50.23,3.59,52.69,1
d2d901bc,1779436440,23.44,31.46,69.47,1
b5a2b7ae,1779436500,65.51,-1.75,56.78,1
a17b82a6,1779436560,30.42,45.48,53.56,1
d070a4e0,1779436620,41.08,29.6,71.12,1
fac7d7fc,1779436680,55.69,21.78,86.14,1
1c4ed0fc,1779436740,41.89,43.83,55.88,1
5fd2e772,1779436800,56.5,10.34,75.64,1
5b2724be,1779436860,82.48,43.83,42.66,0
f9cb24e8,1779436920,56.26,28.52,66.93,1
00d58875,1779436980,55.66,-9.45,76.95,1
4a31054a,1779437040,57.33,-9.7,45.71,1
d37474d2,1779437100,54.37,31.51,35.66,1
0000ef0c,1779437160,20.22,32.73,73.13,1
756ab263,1779437220,31.22,34.79,37.39,1
66a30126,1779437280,74.08,29.46,68.26,1
d793db17,1779437340,28.31,12.06,62.92,1
bff0648a,1779437400,27.76,48.38,43.68,1
15185eb3,1779437460,71.97,27.87,55.21,1
c3d031f3,1779437520,50.33,24.61,89.07,1
388fecf1,1779437580,14.84,33.35,59.31,1
cd0698d5,1779437640,23.23,46.43,69.65,1
5085e9bd,1779437700,46.9,48.0,74.81,1
f4f3fa2b,1779437760,28.83,41.07,29.7,1
2de8fd24,1779437820,26.85,23.41,49.74,1
7e880714,1779437880,54.33,24.2,67.71,1
7d5ec2af,1779437940,55.77,49.4,43.82,1
0c28a84b,1779438000,51.46,42.64,37.14,1
f6d253ef,1779438060,71.81,32.15,81.32,1
a6c41aad,1779438120,15.56,38.56,41.24,1
fe8dfcc6,1779438180,57.61,44.79,65.14,1
427b2226,1779438240,62.88,37.9,100.0,1
10729a62,1779438300,83.27,37.75,79.76,0
cd496330,1779438360,42.12,12.53,75.18,1
f82c19d5,1779438420,54.13,-7.84,42.88,1
dd7b42fc,1779438480,100.0,7.19,22.65,0
47c66bfe,1779438540,39.64,-7.76,61.6,1
ce83df74,1779438600,38.2,-2.38,81.78,1
e6abed48,1779438660,89.01,2.95,62.57,1
4e7ce975,1779438720,31.74,-6.9,64.33,1
614ee38a,1779438780,100.0,28.25,96.87,0
f2110bac,1779438840,0.0,37.71,63.73,1
bee24cbe,1779438900,38.89,-5.29,26.62,1
eea1b4b4,1779438960,62.62,14.54,77.32,1
5c2a0737,1779439020,41.64,5.01,53.64,1
190e709b,1779439080,94.14,29.61,68.1,0
d837ae94,1779439140,59.43,26.7,93.03,1
edb3c310,1779439200,12.02,11.36,50.32,1
037e1583,1779439260,44.07,-4.13,97.44,1
d5b45cf4,1779439320,0.0,0.39,39.51,1
ca131834,1779439380,0.13,26.95,34.0,1
9b60df49,1779439440,39.0,12.48,62.61,1
ca5a5612,1779439500,51.46,41.39,100.0,1
d9aab449,1779439560,25.46,-5.77,69.24,1
ecfafab3,1779439620,44.94,25.15,61.22,1
76fe43c2,1779439680,52.84,13.29,73.24,1
ffe37f2e,1779439740,34.62,22.74,100.0,1
a07b842a,1779439800,46.21,47.67,71.77,1
1d2816c2,1779439860,37.84,9.14,64.15,1
4fa600c0,1779439920,35.27,-2.91,76.99,1
66ef07db,1779439980,73.8,42.65,89.05,0
36edfd5f,1779440040,70.32,6.92,72.59,1
08435162,1779440100,63.79,38.41,45.8,1
dfb97698,1779440160,49.48,12.32,62.35,1
969ba828,1779440220,33.27,45.85,83.24,1
864c93f5,1779440280,44.56,35.05,81.98,1
7e01e4e4,1779440340,39.8,44.15,65.23,1
c1b33eea,1779440400,82.64,9.2,60.42,1
2439662b,1779440460,44.02,-9.35,77.08,1
52186240,1779440520,58.1,47.04,57.4,1
a69e29e0,1779440580,97.81,16.91,81.3,0
3f63cac5,1779440640,24.85,30.35,35.72,1
3963434b,1779440700,69.27,37.38,73.34,1
d26dcc69,1779440760,49.69,-6.55,42.05,1
b336d38a,1779440820,0.0,43.26,95.41,1
8a88fd2c,1779440880,29.36,-1.42,53.57,1
09fc5ab9,1779440940,65.35,-3.93,87.16,1
98d02242,1779441000,56.12,-5.63,49.86,1
865df4bd,1779441060,63.98,-5.12,77.45,1
e3efcf88,1779441120,13.8,38.77,31.85,1
66e99956,1779441180,33.39,-4.99,87.2,1
50350aec,1779441240,57.77,15.45,89.51,1
38b14434,1779441300,42.44,18.12,59.91,1
f34fa872,1779441360,58.07,34.76,43.46,1
b9e0c1b5,1779441420,62.32,12.49,61.78,1
6773192b,1779441480,67.25,3.42,51.98,1
349e90f3,1779441540,51.74,49.58,79.67,1
e7115afa,1779441600,52.44,48.16,44.54,1
a5084c64,1779441660,100.0,31.74,68.12,0
831ede61,1779441720,100.0,25.06,44.65,0
cc5cfe25,1779441780,47.23,27.21,79.53,1
aa8b6d10,1779441840,29.01,17.82,48.01,1
5b6a5a88,1779441900,75.82,-5.34,23.8,1
298b45cf,1779441960,58.54,8.57,97.52,1
ad627e6e,1779442020,64.28,-0.24,79.41,1
f67c543b,1779442080,16.99,45.96,96.63,1
0c21fcc2,1779442140,48.16,38.63,54.36,1
3bbd966b,1779442200,7.17,48.19,87.08,1
73106034,1779442260,56.89,18.12,65.57,1
f803f457,1779442320,10.14,-6.62,48.01,1
60cd4869,1779442380,56.48,49.98,66.05,1
2af7c1e9,1779442440,50.13,36.14,60.94,1
a5e89c08,1779442500,42.17,-2.25,28.02,1
3e725b6a,1779442560,53.01,3.72,70.29,1
60a7b2a6,1779442620,76.51,11.49,90.83,1
44e2b89a,1779442680,58.31,21.22,45.03,1
1a4a8f98,1779442740,52.87,41.13,91.03,1
7770318b,1779442800,100.0,42.6,95.11,0
21420c77,1779442860,24.49,-8.27,54.62,1
f5ab2c02,1779442920,66.13,32.24,87.37,1
2cb323fb,1779442980,39.16,-9.13,53.15,1
410b4a85,1779443040,76.46,13.53,24.83,1
52ae6019,1779443100,72.15,10.9,57.26,1
597140b2,1779443160,87.56,13.79,61.48,1
de02e353,1779443220,74.54,46.97,66.61,0
ff76753f,1779443280,7.42,17.55,58.89,1
20a5ad01,1779443340,49.85,9.73,68.06,1
36007d15,1779443400,17.39,-5.45,73.39,1
3e84dd32,1779443460,22.47,10.74,69.75,1
916132b4,1779443520,48.43,30.05,79.1,1
e7348fed,1779443580,38.83,-7.55,50.49,1
bffc49bd,1779443640,36.74,0.62,44.14,1
0a013b2a,1779443700,14.15,11.86,56.17,1
350cab7f,1779443760,99.12,-7.64,60.71,0
ae46c298,1779443820,62.86,-5.09,84.09,1
84462125,1779443880,47.19,38.37,55.58,1
3f58adb5,1779443940,31.59,2.56,71.59,1
0f8fc269,1779444000,43.12,27.1,13.96,1
50f3f5d6,1779444060,34.34,34.85,16.16,1
0159249b,1779444120,64.41,20.7,66.23,1
fc06a391,1779444180,25.69,16.84,61.59,1
5028ec13,1779444240,9.84,6.15,64.07,1
c124c9fb,1779444300,45.33,9.32,59.04,1
7fffe929,1779444360,33.84,-2.81,38.37,1
fcf74bd2,1779444420,55.46,30.75,78.21,1
9ca79ce0,1779444480,49.8,-4.78,89.6,1
407c166f,1779444540,100.0,34.73,80.29,0
8b05c238,1779444600,24.07,7.03,56.19,1
96d49684,1779444660,84.89,24.25,33.81,1
f2f5e832,1779444720,15.04,-3.89,71.26,1
511cce39,1779444780,38.55,-0.36,47.48,1
8452360c,1779444840,35.19,0.4,42.72,1
fc9bbba9,1779444900,0.0,48.94,73.69,1
48b7cfcf,1779444960,44.03,48.17,41.85,1
c3396279,1779445020,55.93,5.47,65.47,1
8306cbff,1779445080,62.52,45.76,40.45,1
01335d78,1779445140,100.0,6.8,92.39,0
0b0fb88f,1779445200,33.43,9.42,71.41,1
6528e02e,1779445260,56.99,4.54,5.18,1
16c2ee6e,1779445320,56.49,7.32,41.91,1
304f5f3e,1779445380,21.52,18.87,65.35,1
caf67196,1779445440,33.7,10.2,60.95,1
c6e5f047,1779445500,34.95,30.89,75.21,1
f07446ff,1779445560,63.25,18.29,88.83,1
ee2bcc5e,1779445620,5.74,45.77,39.35,1
a73c6691,1779445680,59.28,46.3,47.92,1
c970e598,1779445740,62.2,40.51,91.6,1
063ef2a1,1779445800,58.44,2.1,51.76,1
5b254239,1779445860,42.04,38.87,53.62,1
395e05cf,1779445920,57.24,11.53,100.0,1
71fc69a0,1779445980,43.24,39.0,78.95,1
a442d3c5,1779446040,0.0,17.76,39.84,1
b280a582,1779446100,76.29,20.16,43.13,1
b864fcbd,1779446160,58.17,13.03,55.62,1
7cf920e4,1779446220,72.31,27.45,61.91,1
ec2b3570,1779446280,13.04,-1.64,82.88,1
975e1777,1779446340,62.73,22.01,84.95,1
282f3bdd,1779446400,54.55,-0.9,64.96,1
129536aa,1779446460,22.72,34.64,43.66,1
fd6a219a,1779446520,51.79,35.75,50.45,1
3fd1ad6f,1779446580,41.31,39.28,76.58,1
4a33ae75,1779446640,43.25,37.84,40.42,1
0b62b335,1779446700,39.31,33.34,48.95,1
ce99ffb1,1779446760,71.74,31.64,87.11,1
558dca2d,1779446820,9.19,10.74,65.62,1
cbc7b814,1779446880,5.53,17.72,89.92,1
05b5aab2,1779446940,54.51,26.69,100.0,1
67f92d48,1779447000,52.73,31.8,74.52,1
f5d2d265,1779447060,55.42,-0.85,68.84,1
e5eaf879,1779447120,97.05,15.45,86.91,0
7f0c97aa,1779447180,54.6,45.53,62.0,1
877a2508,1779447240,25.26,49.09,57.48,1
7634e4f0,1779447300,100.0,13.94,70.48,0
5840f7f0,1779447360,46.05,38.17,51.46,1
72a23d3a,1779447420,71.31,45.19,13.59,0
c2aa0c5f,1779447480,17.75,34.25,34.1,1
d369f289,1779447540,12.43,17.15,54.79,1
